fila,Tiempo,setpoint Tref,Tref,setpoint Tana,Tana,setpoint_presion,fecha,Pana,Pref
6090,101.48333333333333,373.1499938964844,373.2228088378906,623.1500244140625,623.5335693359375,2.0999999046325684,26/05/2025 18:10:16,1.8854478597640991,1.8854478597640991
6091,101.5,373.1499938964844,372.9593505859375,623.1500244140625,621.6942138671875,2.0999999046325684,26/05/2025 18:10:17,1.8854444026947021,1.8854444026947021
6092,101.51666666666667,373.1499938964844,373.098388671875,623.1500244140625,623.089599609375,2.0999999046325684,26/05/2025 18:10:18,1.8854528665542603,1.8854528665542603
6093,101.53333333333333,373.1499938964844,372.9593505859375,623.1500244140625,621.821044921875,2.0999999046325684,26/05/2025 18:10:19,1.8854360580444336,1.8854360580444336
6094,101.55,373.1499938964844,373.0837707519531,623.1500244140625,622.8992919921875,2.0999999046325684,26/05/2025 18:10:20,1.885419487953186,1.885419487953186
6095,101.56666666666666,373.1499938964844,373.1642761230469,623.1500244140625,623.026123046875,2.0999999046325684,26/05/2025 18:10:21,1.8854029178619385,1.8854029178619385
6096,101.58333333333333,373.1499938964844,373.1716003417969,623.1500244140625,624.1678466796875,2.0999999046325684,26/05/2025 18:10:22,1.8854427337646484,1.8854427337646484
6097,101.6,373.1499938964844,372.7471008300781,623.1500244140625,620.9964599609375,2.0999999046325684,26/05/2025 18:10:23,1.8854095935821533,1.8854095935821533
6098,101.61666666666666,373.1499938964844,373.2593994140625,623.1500244140625,623.5335693359375,2.0999999046325684,26/05/2025 18:10:24,1.8854011297225952,1.8854011297225952
6099,101.63333333333334,373.1499938964844,373.20819091796875,623.1500244140625,623.026123046875,2.0999999046325684,26/05/2025 18:10:25,1.8853877782821655,1.8853877782821655
6100,101.65,373.1499938964844,373.2740478515625,623.1500244140625,623.723876953125,2.0999999046325684,26/05/2025 18:10:26,1.8853976726531982,1.8853976726531982
6101,101.66666666666667,373.1499938964844,373.2593994140625,623.1500244140625,623.47021484375,2.0999999046325684,26/05/2025 18:10:28,1.8853909969329834,1.8853909969329834
6102,101.68333333333334,373.1499938964844,373.35455322265625,623.1500244140625,624.5484619140625,2.0999999046325684,26/05/2025 18:10:29,1.8853861093521118,1.8853861093521118
6103,101.7,373.1499938964844,373.3326110839844,623.1500244140625,625.3096923828125,2.0999999046325684,26/05/2025 18:10:30,1.885367751121521,1.885367751121521
6104,101.71666666666667,373.1499938964844,373.3033142089844,623.1500244140625,623.40673828125,2.0999999046325684,26/05/2025 18:10:31,1.8853610754013062,1.8853610754013062
6105,101.73333333333333,373.1499938964844,372.9007873535156,623.1500244140625,621.123291015625,2.0999999046325684,26/05/2025 18:10:32,1.8853428363800049,1.8853428363800049
6106,101.75,373.1499938964844,373.1569519042969,623.1500244140625,622.9627685546875,2.0999999046325684,26/05/2025 18:10:33,1.8853394985198975,1.8853394985198975
6107,101.76666666666667,373.1499938964844,373.1642761230469,623.1500244140625,622.8992919921875,2.0999999046325684,26/05/2025 18:10:34,1.8853428363800049,1.8853428363800049
6108,101.78333333333333,373.1499938964844,373.19354248046875,623.1500244140625,623.026123046875,2.0999999046325684,26/05/2025 18:10:35,1.885319471359253,1.885319471359253
6109,101.8,373.1499938964844,373.33990478515625,623.1500244140625,624.1044921875,2.0999999046325684,26/05/2025 18:10:36,1.8853161334991455,1.8853161334991455
6110,101.81666666666666,373.1499938964844,372.9959411621094,623.1500244140625,622.2015380859375,2.0999999046325684,26/05/2025 18:10:37,1.8853079080581665,1.8853079080581665
6111,101.83333333333333,373.1499938964844,373.20086669921875,623.1500244140625,622.8992919921875,2.0999999046325684,26/05/2025 18:10:38,1.8853111267089844,1.8853111267089844
6112,101.85,373.1499938964844,373.19354248046875,623.1500244140625,622.7724609375,2.0999999046325684,26/05/2025 18:10:39,1.8853161334991455,1.8853161334991455
6113,101.86666666666666,373.1499938964844,373.2154846191406,623.1500244140625,622.518798828125,2.0999999046325684,26/05/2025 18:10:40,1.8852678537368774,1.8852678537368774
6114,101.88333333333334,373.1499938964844,373.5448303222656,623.1500244140625,624.73876953125,2.0999999046325684,26/05/2025 18:10:41,1.8852660655975342,1.8852660655975342
6115,101.9,373.1499938964844,373.3326110839844,623.1500244140625,624.1044921875,2.0999999046325684,26/05/2025 18:10:42,1.8852827548980713,1.8852827548980713
6116,101.91666666666667,373.1499938964844,373.1423034667969,623.1500244140625,621.8843994140625,2.0999999046325684,26/05/2025 18:10:44,1.885276198387146,1.885276198387146
6117,101.93333333333334,373.1499938964844,373.098388671875,623.1500244140625,621.2501220703125,2.0999999046325684,26/05/2025 18:10:45,1.885276198387146,1.885724425315857
6118,101.95,373.1499938964844,373.3326110839844,623.1500244140625,623.5335693359375,2.0999999046325684,26/05/2025 18:10:46,1.885276198387146,1.8857662677764893
6119,101.96666666666667,373.1499938964844,373.35455322265625,623.1500244140625,622.8992919921875,2.0999999046325684,26/05/2025 18:10:47,1.885276198387146,1.885761022567749
6120,101.98333333333333,373.1499938964844,373.4057922363281,623.1500244140625,622.6456298828125,2.0999999046325684,26/05/2025 18:10:48,1.885276198387146,1.8857561349868774
