fecha,Pref
28/05/2025,2.203
28/05/2025,2.20387
28/05/2025,2.20469
28/05/2025,2.20552
28/05/2025,2.20648
28/05/2025,2.20724
28/05/2025,2.20806
28/05/2025,2.20882
28/05/2025,2.2096
28/05/2025,2.21048
28/05/2025,2.21132
28/05/2025,2.21202
28/05/2025,2.21281
28/05/2025,2.21364
28/05/2025,2.21441
28/05/2025,2.21517
28/05/2025,2.21597
28/05/2025,2.2167
28/05/2025,2.21751
28/05/2025,2.21823
28/05/2025,2.21905
28/05/2025,2.21977
28/05/2025,2.22056
28/05/2025,2.22128
28/05/2025,2.22205
28/05/2025,2.2228
28/05/2025,2.22358
28/05/2025,2.2243
28/05/2025,2.22503
28/05/2025,2.22575
28/05/2025,2.2265
28/05/2025,2.22722
28/05/2025,2.22799
28/05/2025,2.22867
28/05/2025,2.22944
28/05/2025,2.23007
28/05/2025,2.2308
28/05/2025,2.23153
28/05/2025,2.2323
28/05/2025,2.23293
28/05/2025,2.23366
28/05/2025,2.23433
28/05/2025,2.23504
28/05/2025,2.23572
28/05/2025,2.23644
28/05/2025,2.2371
28/05/2025,2.23785
28/05/2025,2.23857
28/05/2025,2.2392
28/05/2025,2.23986
28/05/2025,2.24056
28/05/2025,2.24121
28/05/2025,2.24181
28/05/2025,2.24248
28/05/2025,2.24313
28/05/2025,2.24381
28/05/2025,2.24448
28/05/2025,2.2451
28/05/2025,2.24577
28/05/2025,2.24638
28/05/2025,2.24704
28/05/2025,2.24776
28/05/2025,2.24833
28/05/2025,2.24902
28/05/2025,2.24955
28/05/2025,2.25016
28/05/2025,2.25082
28/05/2025,2.25144
28/05/2025,2.25205
28/05/2025,2.25267
28/05/2025,2.2533
28/05/2025,2.25388
28/05/2025,2.25453
28/05/2025,2.25513
28/05/2025,2.25567
28/05/2025,2.25628
28/05/2025,2.25685
28/05/2025,2.25744
28/05/2025,2.25805
28/05/2025,2.25865
28/05/2025,2.25921
28/05/2025,2.25983
28/05/2025,2.26031
28/05/2025,2.26095
28/05/2025,2.26152
28/05/2025,2.26206
28/05/2025,2.26264
28/05/2025,2.2633
28/05/2025,2.26375
28/05/2025,2.26437
28/05/2025,2.26491
28/05/2025,2.26541
28/05/2025,2.26593
28/05/2025,2.2665
28/05/2025,2.2671
28/05/2025,2.26767
28/05/2025,2.26818
28/05/2025,2.26867
28/05/2025,2.26925
28/05/2025,2.26972
28/05/2025,2.27028
28/05/2025,2.27078
28/05/2025,2.27135
28/05/2025,2.27186
28/05/2025,2.2724
28/05/2025,2.2729
28/05/2025,2.27343
28/05/2025,2.27397
28/05/2025,2.27448
28/05/2025,2.275
28/05/2025,2.2755
28/05/2025,2.27599
28/05/2025,2.27647
28/05/2025,2.27699
28/05/2025,2.27748
28/05/2025,2.27797
28/05/2025,2.27859
28/05/2025,2.27896
28/05/2025,2.27952
28/05/2025,2.28001
28/05/2025,2.28052
28/05/2025,2.28095
28/05/2025,2.28148
28/05/2025,2.28195
28/05/2025,2.28241
28/05/2025,2.28289
28/05/2025,2.28337
28/05/2025,2.28388
28/05/2025,2.28437
28/05/2025,2.28482
28/05/2025,2.28535
28/05/2025,2.28577
28/05/2025,2.28626
28/05/2025,2.28669
28/05/2025,2.28718
28/05/2025,2.28763
28/05/2025,2.28811
28/05/2025,2.28858
28/05/2025,2.289
28/05/2025,2.28948
28/05/2025,2.28992
28/05/2025,2.29045
28/05/2025,2.29086
28/05/2025,2.29138
28/05/2025,2.29178
28/05/2025,2.29223
28/05/2025,2.29266
28/05/2025,2.29314
28/05/2025,2.29357
28/05/2025,2.29401
28/05/2025,2.29443
28/05/2025,2.29487
28/05/2025,2.2953
28/05/2025,2.29574
28/05/2025,2.2962
28/05/2025,2.29664
28/05/2025,2.29711
28/05/2025,2.29749
28/05/2025,2.2979
28/05/2025,2.29833
28/05/2025,2.29875
28/05/2025,2.29914
28/05/2025,2.29955
28/05/2025,2.29993
28/05/2025,2.30039
28/05/2025,2.30082
28/05/2025,2.30121
28/05/2025,2.30166
28/05/2025,2.30202
28/05/2025,2.30247
28/05/2025,2.30284
28/05/2025,2.3033
28/05/2025,2.30364
28/05/2025,2.30406
28/05/2025,2.30443
28/05/2025,2.30482
28/05/2025,2.30529
28/05/2025,2.30568
28/05/2025,2.30605
28/05/2025,2.30649
28/05/2025,2.30684
28/05/2025,2.30719
28/05/2025,2.30761
28/05/2025,2.30798
28/05/2025,2.30837
28/05/2025,2.3088
28/05/2025,2.30916
28/05/2025,2.30954
28/05/2025,2.30991
28/05/2025,2.31028
28/05/2025,2.31068
28/05/2025,2.3111
28/05/2025,2.31143
28/05/2025,2.31181
28/05/2025,2.31218
28/05/2025,2.31259
28/05/2025,2.31299
28/05/2025,2.31333
28/05/2025,2.31368
28/05/2025,2.31409
28/05/2025,2.31447
28/05/2025,2.31486
28/05/2025,2.3152
28/05/2025,2.31557
28/05/2025,2.31597
28/05/2025,2.31632
28/05/2025,2.31667
28/05/2025,2.31703
28/05/2025,2.31741
28/05/2025,2.31772
28/05/2025,2.31806
28/05/2025,2.31845
28/05/2025,2.31888
28/05/2025,2.31923
28/05/2025,2.3196
28/05/2025,2.31996
28/05/2025,2.32026
28/05/2025,2.32063
28/05/2025,2.32099
28/05/2025,2.32131
28/05/2025,2.3217
28/05/2025,2.32203
28/05/2025,2.32236
28/05/2025,2.32272
28/05/2025,2.32311
28/05/2025,2.32338
28/05/2025,2.32367
28/05/2025,2.32405
28/05/2025,2.32437
28/05/2025,2.3247
28/05/2025,2.32501
28/05/2025,2.32533
28/05/2025,2.32568
28/05/2025,2.32602
28/05/2025,2.32634
28/05/2025,2.32669
28/05/2025,2.32703
28/05/2025,2.32732
28/05/2025,2.32766
28/05/2025,2.32797
28/05/2025,2.3283
28/05/2025,2.32865
28/05/2025,2.32894
28/05/2025,2.32928
28/05/2025,2.32959
28/05/2025,2.32988
28/05/2025,2.33023
28/05/2025,2.33056
28/05/2025,2.33084
28/05/2025,2.33118
28/05/2025,2.33147
28/05/2025,2.33175
28/05/2025,2.33207
28/05/2025,2.33237
28/05/2025,2.33269
28/05/2025,2.33297
28/05/2025,2.33331
28/05/2025,2.33358
28/05/2025,2.33392
28/05/2025,2.33421
28/05/2025,2.33452
28/05/2025,2.33481
28/05/2025,2.33511
28/05/2025,2.3354
28/05/2025,2.33571
28/05/2025,2.33596
28/05/2025,2.33631
28/05/2025,2.33658
28/05/2025,2.33685
28/05/2025,2.3372
28/05/2025,2.33748
28/05/2025,2.33781
28/05/2025,2.33815
28/05/2025,2.33843
28/05/2025,2.33872
28/05/2025,2.33903
28/05/2025,2.33931
28/05/2025,2.3396
28/05/2025,2.33988
28/05/2025,2.34018
28/05/2025,2.34047
28/05/2025,2.34072
28/05/2025,2.34103
28/05/2025,2.34133
28/05/2025,2.34161
28/05/2025,2.34189
28/05/2025,2.3422
28/05/2025,2.34246
28/05/2025,2.34274
28/05/2025,2.34303
28/05/2025,2.34332
28/05/2025,2.34361
28/05/2025,2.34387
28/05/2025,2.34416
28/05/2025,2.34446
28/05/2025,2.3447
28/05/2025,2.345
28/05/2025,2.34529
28/05/2025,2.34557
28/05/2025,2.34583
28/05/2025,2.34611
28/05/2025,2.34641
28/05/2025,2.34669
28/05/2025,2.34694
28/05/2025,2.3472
28/05/2025,2.34749
28/05/2025,2.34775
28/05/2025,2.348
28/05/2025,2.34828
28/05/2025,2.34853
28/05/2025,2.34881
28/05/2025,2.34906
28/05/2025,2.34934
28/05/2025,2.34957
28/05/2025,2.34984
28/05/2025,2.35008
28/05/2025,2.35036
